Cakupan,UHH,HLS,RLS,Pengeluaran,IPM,Tahun
KABUPATEN SIAK,71.11,12.76,9.66,11799.0,73.68,2020
KABUPATEN KAMPAR,70.76,13.46,9.26,10796.0,72.83,2020
KABUPATEN ROKAN HULU,70.06,12.84,8.39,9374.0,69.38,2020
KABUPATEN BENGKALIS,71.2,12.87,9.69,11331.0,73.46,2020
KABUPATEN ROKAN HILIR,70.3,12.68,8.25,9362.0,69.15,2020
KABUPATEN KEPULAUAN MERANTI,67.68,12.82,7.7,7790.0,65.5,2020
KOTA PEKANBARU,72.34,15.54,11.68,14433.0,81.32,2020
KOTA DUMAI,70.93,13.12,10.07,11751.0,74.4,2020
KABUPATEN KERINCI,69.93,13.87,8.55,9995.0,71.21,2020
KABUPATEN MERANGIN,71.26,11.99,7.76,10279.0,69.19,2020
KABUPATEN SAROLANGUN,69.17,12.27,7.87,11616.0,69.86,2020
KABUPATEN BATANG HARI,70.56,12.92,8.11,9825.0,69.84,2020
KABUPATEN MUARO JAMBI,71.27,12.83,8.57,8556.0,69.18,2020
KABUPATEN TANJUNG JABUNG TIMUR,66.23,12.16,6.7,9026.0,64.43,2020
KABUPATEN TANJUNG JABUNG BARAT,68.12,12.62,7.71,9480.0,67.54,2020
KABUPATEN TEBO,69.99,12.6,7.58,10389.0,69.14,2020
KABUPATEN BUNGO,67.74,12.62,8.27,11471.0,69.92,2020
KOTA JAMBI,72.65,15.1,10.92,12056.0,78.37,2020
KOTA SUNGAI PENUH,72.11,14.79,10.32,10248.0,75.42,2020
KABUPATEN OGAN KOMERING ULU,68.2,12.6,8.7,10020.0,69.32,2020
KABUPATEN OGAN KOMERING ILIR,68.61,11.42,7.04,10725.0,66.82,2020
KABUPATEN MUARA ENIM,68.9,11.97,7.79,10951.0,68.74,2020
KABUPATEN LAHAT,66.04,12.34,8.46,9730.0,67.44,2020
KABUPATEN MUSI RAWAS,68.14,12.08,7.52,9520.0,66.79,2020
KABUPATEN MUSI BANYUASIN,68.75,12.0,7.62,10088.0,67.69,2020
KABUPATEN BANYU ASIN,68.97,11.75,7.2,9850.0,66.74,2020
KABUPATEN OGAN KOMERING ULU SELATAN,67.04,11.75,7.84,8580.0,65.3,2020
KABUPATEN OGAN KOMERING ULU TIMUR,69.1,12.23,7.55,11505.0,69.28,2020
KABUPATEN OGAN ILIR,65.48,12.3,7.86,10424.0,67.06,2020
KABUPATEN EMPAT LAWANG,65.08,12.06,7.6,9350.0,65.25,2020
KABUPATEN PENUKAL ABAB LEMATANG ILIR,68.27,12.05,7.04,8196.0,64.7,2020
KABUPATEN MUSI RAWAS UTARA,65.68,11.57,6.84,9783.0,64.49,2020
KOTA PALEMBANG,70.79,14.41,10.53,14679.0,78.33,2020
KOTA PRABUMULIH,70.32,12.91,9.96,12723.0,74.55,2020
KOTA PAGAR ALAM,66.71,12.85,9.39,8795.0,68.31,2020
KOTA LUBUKLINGGAU,69.25,13.37,9.89,13243.0,74.78,2020
KABUPATEN BENGKULU SELATAN,67.9,13.61,9.26,9837.0,70.63,2020
KABUPATEN REJANG LEBONG,68.57,13.83,8.28,10234.0,70.44,2020
KABUPATEN BENGKULU UTARA,68.19,12.87,7.87,10263.0,68.82,2020
KABUPATEN KAUR,66.63,12.99,8.37,8593.0,66.99,2020
KABUPATEN SELUMA,67.75,13.28,7.99,8220.0,66.89,2020
KABUPATEN MUKOMUKO,66.64,12.73,8.29,10266.0,68.45,2020
KABUPATEN LEBONG,63.29,12.57,7.99,11124.0,67.01,2020
KABUPATEN KEPAHIANG,67.95,12.9,8.24,9273.0,68.17,2020
KABUPATEN BENGKULU TENGAH,68.19,13.03,7.47,9392.0,67.61,2020
KOTA BENGKULU,70.13,16.02,11.79,13938.0,80.36,2020
KABUPATEN LAMPUNG BARAT,67.58,12.25,8.06,9929.0,67.8,2020
KABUPATEN TANGGAMUS,68.56,12.18,7.22,9250.0,66.42,2020
KABUPATEN LAMPUNG SELATAN,69.33,12.5,7.69,9875.0,68.36,2020
KABUPATEN LAMPUNG TIMUR,70.73,12.85,7.6,9983.0,69.37,2020
KABUPATEN LAMPUNG TENGAH,69.84,12.92,7.58,11219.0,70.16,2020
KABUPATEN LAMPUNG UTARA,69.21,12.48,8.21,8733.0,67.67,2020
KABUPATEN WAY KANAN,69.4,12.36,7.7,9102.0,67.44,2020
KABUPATEN TULANGBAWANG,69.97,11.89,7.49,10683.0,68.52,2020
KABUPATEN PESAWARAN,69.04,12.36,7.7,7892.0,65.79,2020
KABUPATEN PRINGSEWU,70.08,12.83,8.38,10262.0,70.3,2020
KABUPATEN MESUJI,68.19,11.63,6.88,7894.0,63.63,2020
KABUPATEN TULANG BAWANG BARAT,70.0,12.05,7.24,8395.0,65.97,2020
KABUPATEN PESISIR BARAT,63.5,11.99,8.01,8457.0,63.91,2020
KOTA BANDAR LAMPUNG,71.37,14.64,10.93,12197.0,77.44,2020
KOTA METRO,71.63,14.47,10.96,11906.0,77.19,2020
KABUPATEN BANGKA,71.06,12.77,8.24,12416.0,72.4,2020
KABUPATEN BELITUNG,71.05,11.85,8.46,13554.0,72.51,2020
KABUPATEN BANGKA BARAT,70.06,11.53,7.22,12233.0,69.08,2020
KABUPATEN BANGKA TENGAH,71.36,11.81,7.19,12909.0,70.45,2020
KABUPATEN BANGKA SELATAN,68.16,11.37,6.67,11757.0,66.9,2020
KABUPATEN BELITUNG TIMUR,72.03,11.52,8.22,11730.0,70.92,2020
KOTA PANGKAL PINANG,73.3,13.15,9.92,15663.0,78.22,2020
KABUPATEN KARIMUN,70.91,12.42,8.17,11885.0,71.44,2020
KABUPATEN BINTAN,70.38,13.1,8.44,14482.0,74.13,2020
KABUPATEN NATUNA,65.06,13.9,8.73,14705.0,72.72,2020
KABUPATEN LINGGA,62.06,12.45,6.67,11998.0,65.29,2020
KABUPATEN KEPULAUAN ANAMBAS,67.21,12.81,7.17,11875.0,68.8,2020
KOTA B A T A M,73.33,13.16,11.14,18095.0,81.11,2020
KOTA TANJUNG PINANG,72.1,14.12,10.25,15498.0,78.91,2020
KABUPATEN KEPULAUAN SERIBU,68.76,12.57,8.68,12412.0,71.63,2020
KOTA JAKARTA SELATAN,74.12,13.33,11.63,23575.0,84.72,2020
KOTA JAKARTA TIMUR,74.47,13.86,11.66,17438.0,82.66,2020
KOTA JAKARTA PUSAT,74.11,13.25,11.38,17179.0,81.39,2020
KOTA JAKARTA BARAT,73.62,12.8,10.63,20468.0,81.38,2020
KOTA JAKARTA UTARA,73.28,12.63,10.8,18437.0,80.29,2020
KABUPATEN BOGOR,71.17,12.48,8.3,10317.0,70.4,2020
KABUPATEN SUKABUMI,70.97,12.23,7.07,8823.0,66.88,2020
KABUPATEN CIANJUR,70.13,11.99,7.18,7980.0,65.36,2020
KABUPATEN BANDUNG,73.53,12.69,8.96,10201.0,72.39,2020
KABUPATEN GARUT,71.41,11.91,7.52,7876.0,66.12,2020
KABUPATEN TASIKMALAYA,69.47,12.53,7.35,7852.0,65.67,2020
KABUPATEN CIAMIS,71.83,14.06,7.7,9288.0,70.49,2020
KABUPATEN KUNINGAN,73.59,12.22,7.57,9459.0,69.38,2020
KABUPATEN CIREBON,71.99,12.25,6.92,10342.0,68.75,2020
KABUPATEN MAJALENGKA,70.27,12.22,7.27,9521.0,67.59,2020
KABUPATEN SUMEDANG,72.43,12.97,8.51,10217.0,71.64,2020
KABUPATEN INDRAMAYU,71.63,12.25,6.3,9859.0,67.29,2020
KABUPATEN SUBANG,72.35,11.7,7.1,10790.0,68.95,2020
KABUPATEN PURWAKARTA,70.99,12.11,8.09,11614.0,70.82,2020
KABUPATEN KARAWANG,72.15,12.09,7.77,11315.0,70.66,2020
KABUPATEN BEKASI,73.68,13.09,9.12,11241.0,74.07,2020
KABUPATEN BANDUNG BARAT,72.34,11.87,8.19,8455.0,68.08,2020
KABUPATEN PANGANDARAN,71.4,12.07,7.74,9084.0,68.06,2020
KOTA BOGOR,73.61,13.41,10.33,11564.0,76.11,2020
KOTA SUKABUMI,72.42,13.47,9.59,10999.0,74.21,2020
KOTA BANDUNG,74.28,14.2,10.75,16887.0,81.51,2020
KOTA CIREBON,72.26,13.12,9.91,11800.0,74.89,2020
KOTA BEKASI,75.01,14.0,11.16,15776.0,81.5,2020
KOTA DEPOK,74.44,13.92,11.28,15281.0,80.97,2020
KOTA CIMAHI,74.03,13.8,10.96,12025.0,77.83,2020
KOTA TASIKMALAYA,72.15,13.45,9.33,10263.0,73.04,2020
KOTA BANJAR,70.99,13.23,8.63,10535.0,71.7,2020
KABUPATEN CILACAP,73.73,12.5,6.97,10440.0,69.95,2020
KABUPATEN BANYUMAS,73.72,12.85,7.52,11448.0,71.98,2020
KABUPATEN PURBALINGGA,73.14,11.99,7.24,9914.0,68.97,2020
KABUPATEN BANJARNEGARA,74.18,11.46,6.74,9263.0,67.45,2020
KABUPATEN KEBUMEN,73.4,13.34,7.54,8901.0,69.81,2020
KABUPATEN PURWOREJO,74.72,13.5,8.12,10163.0,72.68,2020
KABUPATEN WONOSOBO,71.82,11.75,6.81,10621.0,68.22,2020
KABUPATEN MAGELANG,73.72,12.54,7.78,9301.0,69.87,2020
KABUPATEN BOYOLALI,75.95,12.56,7.84,12910.0,74.25,2020
KABUPATEN KLATEN,76.78,13.25,8.58,11921.0,75.56,2020
KABUPATEN SUKOHARJO,77.65,13.83,9.34,11325.0,76.98,2020
KABUPATEN WONOGIRI,76.16,12.49,7.33,9286.0,70.25,2020
KABUPATEN KARANGANYAR,77.47,13.68,8.56,11428.0,75.86,2020
KABUPATEN SRAGEN,75.71,12.83,7.65,12589.0,73.95,2020
KABUPATEN GROBOGAN,74.75,12.3,6.91,10221.0,69.87,2020
KABUPATEN BLORA,74.41,12.2,6.83,9571.0,68.84,2020
KABUPATEN REMBANG,74.55,12.11,7.16,10328.0,70.02,2020
KABUPATEN PATI,76.22,12.65,7.44,10390.0,71.77,2020
KABUPATEN KUDUS,76.6,13.23,8.75,11160.0,75.0,2020
KABUPATEN JEPARA,75.84,12.75,7.68,10343.0,71.99,2020
KABUPATEN DEMAK,75.4,13.31,7.71,10128.0,72.22,2020
KABUPATEN SEMARANG,75.73,12.97,8.02,11966.0,74.1,2020
KABUPATEN TEMANGGUNG,75.58,12.14,7.24,9343.0,69.57,2020
KABUPATEN KENDAL,74.43,12.95,7.45,11425.0,72.29,2020
KABUPATEN BATANG,74.69,12.01,6.87,9431.0,68.65,2020
KABUPATEN PEKALONGAN,73.69,12.41,6.91,10312.0,69.63,2020
KABUPATEN PEMALANG,73.4,11.95,6.42,8461.0,66.32,2020
KABUPATEN TEGAL,71.6,12.67,6.98,9612.0,68.39,2020
KABUPATEN BREBES,69.33,12.04,6.21,10058.0,66.11,2020
KOTA MAGELANG,76.85,14.14,10.39,12210.0,78.99,2020
KOTA SURAKARTA,77.22,14.87,10.69,14761.0,82.21,2020
KOTA SALATIGA,77.4,15.41,10.42,15699.0,83.14,2020
KOTA SEMARANG,77.34,15.52,10.53,15243.0,83.05,2020
KOTA PEKALONGAN,74.38,12.84,8.96,12467.0,74.98,2020
KOTA TEGAL,74.46,13.05,8.51,12999.0,75.07,2020
KABUPATEN KULON PROGO,75.24,14.26,8.86,10041.0,74.46,2020
KABUPATEN BANTUL,73.86,15.17,9.55,15517.0,80.01,2020
KABUPATEN GUNUNG KIDUL,74.12,12.97,7.21,9486.0,69.98,2020
KABUPATEN SLEMAN,74.81,16.73,10.91,15926.0,83.84,2020
KOTA YOGYAKARTA,74.65,17.43,11.46,18678.0,86.61,2020
KABUPATEN PACITAN,71.94,12.64,7.6,8796.0,68.39,2020
KABUPATEN PONOROGO,72.77,13.73,7.54,9670.0,70.81,2020
KABUPATEN TRENGGALEK,73.75,12.35,7.55,9630.0,69.74,2020
KABUPATEN TULUNGAGUNG,74.08,13.31,8.33,10705.0,73.0,2020
KABUPATEN BLITAR,73.52,12.46,7.39,10654.0,70.58,2020
KABUPATEN KEDIRI,72.61,13.15,8.02,11000.0,72.05,2020
KABUPATEN MALANG,72.55,13.18,7.42,10028.0,70.36,2020
KABUPATEN LUMAJANG,70.1,11.81,6.4,9088.0,65.46,2020
KABUPATEN JEMBER,69.15,13.42,6.48,9294.0,67.11,2020
KABUPATEN BANYUWANGI,70.65,12.8,7.16,12140.0,70.62,2020
KABUPATEN BONDOWOSO,66.74,13.28,5.93,10610.0,66.43,2020
KABUPATEN SITUBONDO,69.13,13.15,6.46,9857.0,67.38,2020
KABUPATEN PROBOLINGGO,67.2,12.35,6.11,10859.0,66.07,2020
KABUPATEN PASURUAN,70.23,12.41,7.4,10164.0,68.6,2020
KABUPATEN SIDOARJO,74.04,14.93,10.5,14458.0,80.29,2020
KABUPATEN MOJOKERTO,72.53,12.88,8.51,12779.0,73.83,2020
KABUPATEN JOMBANG,72.4,13.27,8.54,11261.0,72.97,2020
KABUPATEN NGANJUK,71.54,12.86,7.64,12130.0,71.72,2020
KABUPATEN MADIUN,71.38,13.16,7.81,11574.0,71.73,2020
KABUPATEN MAGETAN,72.59,14.03,8.24,11776.0,73.92,2020
KABUPATEN NGAWI,72.3,12.7,7.06,11418.0,70.54,2020
KABUPATEN BOJONEGORO,71.56,12.39,7.33,10121.0,69.04,2020
KABUPATEN TUBAN,71.43,12.21,6.95,10238.0,68.4,2020
KABUPATEN LAMONGAN,72.4,13.48,7.92,11456.0,72.58,2020
KABUPATEN GRESIK,72.66,13.73,9.3,13246.0,76.11,2020
KABUPATEN BANGKALAN,70.18,11.6,5.95,8610.0,64.11,2020
KABUPATEN SAMPANG,68.03,12.37,4.85,8739.0,62.7,2020
KABUPATEN PAMEKASAN,67.58,13.64,6.69,8739.0,66.26,2020
KABUPATEN SUMENEP,71.41,13.2,5.71,8888.0,66.43,2020
KOTA KEDIRI,74.02,15.26,9.93,12239.0,78.23,2020
KOTA BLITAR,73.75,14.32,10.11,13733.0,78.57,2020
KOTA MALANG,73.27,15.51,10.18,16593.0,81.45,2020
KOTA PROBOLINGGO,70.29,13.59,8.7,12180.0,73.27,2020
KOTA PASURUAN,71.52,13.62,9.12,13281.0,75.26,2020
KOTA MOJOKERTO,73.32,14.0,10.25,13499.0,78.04,2020
KOTA MADIUN,72.81,14.4,11.14,16018.0,80.91,2020
KOTA SURABAYA,74.18,14.8,10.49,17755.0,82.23,2020
KOTA BATU,72.61,14.13,9.07,12824.0,75.9,2020
KABUPATEN PANDEGLANG,64.66,13.47,7.1,8572.0,65.0,2020
KABUPATEN LEBAK,67.21,11.97,6.4,8690.0,63.91,2020
KABUPATEN TANGERANG,69.89,12.82,8.39,12203.0,71.92,2020
KABUPATEN SERANG,64.64,12.57,7.5,10665.0,66.7,2020
KOTA TANGERANG,71.6,13.85,10.69,14484.0,78.25,2020
KOTA CILEGON,66.67,13.16,9.87,13010.0,73.05,2020
KOTA SERANG,68.0,12.78,8.76,13212.0,72.16,2020
KOTA TANGERANG SELATAN,72.47,14.47,11.81,15667.0,81.36,2020
