Cakupan,UHH,HLS,RLS,Pengeluaran,IPM,Tahun
KOTA BANJARMASIN,71.13,13.93,9.95,14306.0,77.1,2020
KOTA BANJAR BARU,71.99,14.81,10.95,13675.0,79.1,2020
KABUPATEN PASER,72.62,13.1,8.55,10344.0,72.04,2020
KABUPATEN KUTAI BARAT,72.86,12.9,8.47,9712.0,71.19,2020
KABUPATEN KUTAI KARTANEGARA,72.34,13.59,9.22,10720.0,73.59,2020
KABUPATEN KUTAI TIMUR,73.16,12.89,9.19,10485.0,73.0,2020
KABUPATEN BERAU,72.06,13.32,9.52,12018.0,74.71,2020
KABUPATEN PENAJAM PASER UTARA,71.41,12.56,8.28,11231.0,71.41,2020
KABUPATEN MAHAKAM HULU,72.1,12.51,7.97,7524.0,67.09,2020
KOTA BALIKPAPAN,74.49,14.14,10.68,14549.0,80.01,2020
KOTA SAMARINDA,74.27,14.89,10.48,14135.0,80.11,2020
KOTA BONTANG,74.28,13.03,10.79,16278.0,80.02,2020
KABUPATEN MALINAU,71.45,13.3,9.39,9611.0,71.94,2020
KABUPATEN BULUNGAN,72.66,13.0,8.94,9121.0,71.1,2020
KABUPATEN TANA TIDUNG,71.42,12.21,8.54,7381.0,66.97,2020
KABUPATEN NUNUKAN,71.34,12.64,8.0,6804.0,65.79,2020
KOTA TARAKAN,73.97,14.02,9.97,10894.0,75.83,2020
KABUPATEN BOLAANG MONGONDOW,69.36,11.52,7.93,10128.0,67.89,2020
KABUPATEN MINAHASA,71.08,13.98,9.59,12395.0,75.29,2020
KABUPATEN KEPULAUAN SANGIHE,70.1,12.32,8.29,11427.0,70.73,2020
KABUPATEN KEPULAUAN TALAUD,70.16,12.51,9.51,8505.0,69.4,2020
KABUPATEN MINAHASA SELATAN,69.92,12.74,9.08,11481.0,72.11,2020
KABUPATEN MINAHASA UTARA,71.38,12.8,9.99,11405.0,73.9,2020
KABUPATEN BOLAANG MONGONDOW UTARA,67.66,11.91,8.4,9062.0,66.99,2020
KABUPATEN SIAU TAGULANDANG BIARO,70.73,11.67,8.97,8080.0,67.64,2020
KABUPATEN MINAHASA TENGGARA,70.15,12.27,8.88,10408.0,70.51,2020
KABUPATEN BOLAANG MONGONDOW SELATAN,64.49,12.29,7.9,8837.0,65.0,2020
KABUPATEN BOLAANG MONGONDOW TIMUR,67.89,11.59,7.83,8998.0,65.99,2020
KOTA MANADO,71.87,14.15,11.27,13886.0,78.93,2020
KOTA BITUNG,71.07,12.61,9.88,12193.0,74.1,2020
KOTA TOMOHON,71.93,14.2,10.73,11745.0,76.69,2020
KOTA KOTAMOBAGU,70.47,12.79,10.1,10744.0,72.97,2020
KABUPATEN BANGGAI KEPULAUAN,66.31,13.06,8.43,7429.0,65.42,2020
KABUPATEN BANGGAI,70.88,13.24,8.52,9554.0,70.52,2020
KABUPATEN MOROWALI,69.18,13.34,9.33,10993.0,72.21,2020
KABUPATEN POSO,71.18,13.7,9.41,8808.0,71.28,2020
KABUPATEN DONGGALA,67.33,12.49,7.97,7960.0,65.56,2020
KABUPATEN TOLI-TOLI,65.9,12.73,8.51,7917.0,65.69,2020
KABUPATEN BUOL,68.76,13.09,8.86,7942.0,67.82,2020
KABUPATEN PARIGI MOUTONG,64.3,12.47,7.48,9641.0,65.44,2020
KABUPATEN TOJO UNA-UNA,65.67,12.28,8.39,7606.0,64.59,2020
KABUPATEN SIGI,69.99,12.87,8.6,8126.0,68.12,2020
KABUPATEN BANGGAI LAUT,65.38,12.95,8.62,7663.0,65.43,2020
KABUPATEN MOROWALI UTARA,69.61,12.24,8.71,8853.0,68.36,2020
KOTA PALU,71.04,16.23,11.61,14839.0,81.47,2020
KABUPATEN KEPULAUAN SELAYAR,68.46,12.65,7.88,8970.0,67.38,2020
KABUPATEN BULUKUMBA,67.92,13.17,7.67,10513.0,68.99,2020
KABUPATEN BANTAENG,70.54,12.04,6.72,11632.0,68.73,2020
KABUPATEN JENEPONTO,66.39,11.98,6.59,9114.0,64.26,2020
KABUPATEN TAKALAR,67.18,12.41,7.29,10454.0,67.31,2020
KABUPATEN GOWA,70.43,13.64,8.19,9394.0,70.14,2020
KABUPATEN SINJAI,67.3,13.05,7.75,9439.0,67.6,2020
KABUPATEN MAROS,69.02,13.04,7.73,10963.0,69.86,2020
KABUPATEN PANGKAJENE DAN KEPULAUAN,66.66,12.76,7.66,11405.0,68.72,2020
KABUPATEN BARRU,69.02,13.58,8.23,10923.0,71.0,2020
KABUPATEN BONE,67.07,12.88,7.15,8963.0,66.06,2020
KABUPATEN SOPPENG,69.65,12.9,7.81,9483.0,68.67,2020
KABUPATEN WAJO,67.35,13.14,6.81,12386.0,69.15,2020
KABUPATEN SIDENRENG RAPPANG,69.83,12.94,7.84,12073.0,71.21,2020
KABUPATEN PINRANG,69.61,13.23,7.86,11844.0,71.26,2020
KABUPATEN ENREKANG,70.91,13.7,8.9,10844.0,72.76,2020
KABUPATEN LUWU,70.34,13.33,8.24,10014.0,70.51,2020
KABUPATEN TANA TORAJA,73.3,13.8,8.26,7217.0,68.75,2020
KABUPATEN LUWU UTARA,68.51,12.43,7.79,11562.0,69.57,2020
KABUPATEN LUWU TIMUR,70.53,12.83,8.8,12814.0,73.22,2020
KABUPATEN TORAJA UTARA,73.39,13.38,7.96,8097.0,69.33,2020
KOTA MAKASSAR,72.09,15.57,11.21,16873.0,82.25,2020
KOTA PAREPARE,71.27,14.5,10.45,13663.0,77.86,2020
KOTA PALOPO,70.88,15.08,10.76,12995.0,78.06,2020
KABUPATEN BUTON,68.25,13.75,7.71,7307.0,65.98,2020
KABUPATEN MUNA,70.39,13.79,8.36,8203.0,69.02,2020
KABUPATEN KONAWE,70.27,13.0,9.15,10126.0,71.35,2020
KABUPATEN KOLAKA,71.06,12.81,8.98,12515.0,73.45,2020
KABUPATEN KONAWE SELATAN,70.8,12.36,7.86,9037.0,68.2,2020
KABUPATEN BOMBANA,68.91,11.84,8.03,8234.0,66.05,2020
KABUPATEN WAKATOBI,70.41,13.5,7.94,9204.0,69.48,2020
KABUPATEN KOLAKA UTARA,70.36,12.11,8.12,10218.0,69.31,2020
KABUPATEN BUTON UTARA,70.93,12.76,8.92,7470.0,67.87,2020
KABUPATEN KONAWE UTARA,69.51,12.83,9.21,9165.0,69.86,2020
KABUPATEN KOLAKA TIMUR,72.67,12.41,7.56,7727.0,67.02,2020
KABUPATEN KONAWE KEPULAUAN,68.43,12.06,9.41,6700.0,65.41,2020
KABUPATEN MUNA BARAT,70.34,12.5,7.01,7485.0,65.08,2020
KABUPATEN BUTON TENGAH,67.66,13.0,7.3,7221.0,64.37,2020
KABUPATEN BUTON SELATAN,67.66,13.23,7.53,7263.0,64.93,2020
KOTA KENDARI,73.77,16.62,12.2,14335.0,83.53,2020
KOTA BAUBAU,71.19,15.16,10.64,10483.0,75.9,2020
KABUPATEN BOALEMO,69.07,12.44,6.82,8789.0,65.91,2020
KABUPATEN GORONTALO,67.58,13.17,7.13,9277.0,66.92,2020
KABUPATEN POHUWATO,64.07,12.37,7.12,10255.0,65.37,2020
KABUPATEN BONE BOLANGO,68.46,13.57,8.31,10052.0,69.98,2020
KABUPATEN GORONTALO UTARA,65.87,12.45,7.03,8921.0,64.86,2020
KOTA GORONTALO,72.49,14.34,10.36,12278.0,77.13,2020
KABUPATEN MAJENE,61.56,13.61,8.65,10056.0,66.91,2020
KABUPATEN POLEWALI MANDAR,62.38,13.06,7.41,8580.0,63.84,2020
KABUPATEN MAMASA,70.87,12.05,7.65,7747.0,66.02,2020
KABUPATEN MAMUJU,67.52,13.19,7.95,9500.0,68.15,2020
KABUPATEN PASANGKAYU,66.2,11.93,7.98,11111.0,67.79,2020
KABUPATEN MAMUJU TENGAH,68.33,12.23,7.46,8414.0,65.71,2020
KABUPATEN MLUKU TENGGARA BARAT,63.42,12.29,9.68,6297.0,62.86,2020
KABUPATEN MALUKU TENGGARA,65.07,12.81,9.73,7545.0,66.2,2020
KABUPATEN MALUKU TENGAH,66.42,14.16,9.67,10210.0,71.25,2020
KABUPATEN BURU,66.41,13.03,8.52,10316.0,68.95,2020
KABUPATEN KEPULAUAN ARU,62.87,12.3,8.82,7586.0,63.71,2020
KABUPATEN SERAM BAGIAN BARAT,61.69,13.44,8.87,8690.0,65.62,2020
KABUPATEN SERAM BAGIAN TIMUR,59.41,12.76,8.43,9453.0,64.12,2020
KABUPATEN MALUKU BARAT DAYA,62.38,12.27,8.35,6890.0,61.9,2020
KABUPATEN BURU SELATAN,66.27,12.69,7.94,7566.0,64.69,2020
KOTA AMBON,70.52,16.03,11.92,14116.0,80.84,2020
KOTA TUAL,65.47,13.97,10.52,7351.0,67.96,2020
KABUPATEN HALMAHERA BARAT,66.25,13.19,8.35,7352.0,65.31,2020
KABUPATEN HALMAHERA TENGAH,63.91,12.99,9.0,7841.0,65.42,2020
KABUPATEN KEPULAUAN SULA,63.3,12.74,8.95,6950.0,63.53,2020
KABUPATEN HALMAHERA SELATAN,65.86,12.78,7.93,7068.0,63.84,2020
KABUPATEN HALMAHERA UTARA,69.56,13.6,8.51,7414.0,67.5,2020
KABUPATEN HALMAHERA TIMUR,68.88,12.75,8.26,7876.0,66.75,2020
KABUPATEN PULAU MOROTAI,67.18,12.77,7.39,6290.0,62.5,2020
KABUPATEN PULAU TALIABU,62.1,12.59,7.66,6390.0,60.48,2020
KOTA TERNATE,70.97,15.74,11.71,13091.0,79.82,2020
KOTA TIDORE KEPULAUAN,69.34,14.31,9.73,8188.0,70.53,2020
KABUPATEN FAKFAK,68.47,14.37,8.84,7599.0,68.36,2020
KABUPATEN KAIMANA,64.81,12.13,8.41,8325.0,65.0,2020
KABUPATEN TELUK WONDAMA,60.1,11.48,6.98,8219.0,60.21,2020
KABUPATEN TELUK BINTUNI,60.83,12.31,8.08,9974.0,64.55,2020
KABUPATEN MANOKWARI,68.68,13.65,8.25,12207.0,72.01,2020
KABUPATEN SORONG SELATAN,66.25,13.16,7.36,6286.0,62.42,2020
KABUPATEN SORONG,66.1,13.71,8.17,7495.0,65.74,2020
KABUPATEN RAJA AMPAT,64.74,12.03,7.91,8014.0,63.89,2020
KABUPATEN TAMBRAUW,60.13,11.91,5.24,4998.0,53.45,2020
KABUPATEN MAYBRAT,65.19,13.21,6.85,5336.0,59.52,2020
KABUPATEN MANOKWARI SELATAN,67.58,12.35,6.63,5505.0,59.84,2020
KABUPATEN PEGUNUNGAN ARFAK,67.24,11.72,5.12,5099.0,56.33,2020
KOTA SORONG,70.7,14.38,11.14,13954.0,78.45,2020
KABUPATEN MERAUKE,67.0,13.88,8.72,10097.0,70.09,2020
KABUPATEN JAYAWIJAYA,59.64,12.27,5.51,7441.0,58.03,2020
KABUPATEN JAYAPURA,67.05,14.2,10.04,9898.0,71.69,2020
KABUPATEN NABIRE,68.06,11.92,10.0,8840.0,68.83,2020
KABUPATEN KEPULAUAN YAPEN,69.12,12.73,9.46,7484.0,67.66,2020
KABUPATEN BIAK NUMFOR,68.25,13.96,10.33,9705.0,72.19,2020
KABUPATEN PANIAI,66.44,10.49,4.57,6361.0,56.31,2020
KABUPATEN PUNCAK JAYA,65.15,7.24,3.62,5282.0,48.37,2020
KABUPATEN MIMIKA,72.32,12.4,10.17,11431.0,74.19,2020
KABUPATEN BOVEN DIGOEL,59.97,11.07,8.78,7947.0,61.53,2020
KABUPATEN MAPPI,65.11,10.55,6.31,6353.0,58.15,2020
KABUPATEN ASMAT,58.05,9.02,4.94,5733.0,50.55,2020
KABUPATEN YAHUKIMO,65.93,7.61,4.26,4875.0,49.37,2020
KABUPATEN PEGUNUNGAN BINTANG,64.44,6.25,2.81,5409.0,45.44,2020
KABUPATEN TOLIKARA,65.71,8.6,3.64,4826.0,49.5,2020
KABUPATEN SARMI,66.36,12.05,8.82,6600.0,63.63,2020
KABUPATEN KEEROM,66.69,12.42,8.01,8910.0,66.4,2020
KABUPATEN WAROPEN,66.33,12.79,9.2,6732.0,64.94,2020
KABUPATEN SUPIORI,65.94,12.74,8.81,5677.0,62.3,2020
KABUPATEN MAMBERAMO RAYA,57.77,11.79,5.66,4581.0,51.78,2020
KABUPATEN NDUGA,55.27,3.61,1.13,3975.0,31.55,2020
KABUPATEN LANNY JAYA,66.06,8.62,3.2,4350.0,47.86,2020
KABUPATEN MAMBERAMO TENGAH,63.59,8.93,3.15,4462.0,47.57,2020
KABUPATEN YALIMO,65.42,9.11,2.79,4647.0,48.34,2020
KABUPATEN PUNCAK,65.74,5.39,2.15,5378.0,43.04,2020
KABUPATEN DOGIYAI,65.73,10.58,4.93,5373.0,54.84,2020
KABUPATEN INTAN JAYA,65.6,7.65,2.84,5283.0,47.79,2020
KABUPATEN DEIYAI,65.24,9.81,3.01,4632.0,49.46,2020
KOTA JAYAPURA,70.45,15.01,11.56,14763.0,79.94,2020
KABUPATEN NIAS,69.78,12.84,5.64,6995.0,62.74,2021
KABUPATEN MANDAILING NATAL,62.65,13.61,8.63,9771.0,67.19,2021
KABUPATEN TAPANULI SELATAN,64.97,13.35,9.29,11304.0,70.33,2021
KABUPATEN TAPANULI TENGAH,67.24,13.07,8.84,10138.0,69.61,2021
KABUPATEN TAPANULI UTARA,68.76,13.7,9.99,11710.0,73.76,2021
KABUPATEN TOBA SAMOSIR,70.29,13.46,10.57,12224.0,75.39,2021
KABUPATEN LABUHAN BATU,69.95,12.74,9.25,11212.0,72.09,2021
KABUPATEN ASAHAN,68.37,12.61,8.8,11030.0,70.49,2021
KABUPATEN SIMALUNGUN,71.37,12.79,9.61,11376.0,73.4,2021
KABUPATEN DAIRI,69.19,13.11,9.59,10504.0,71.84,2021
KABUPATEN KARO,71.58,12.77,10.0,12412.0,74.83,2021
KABUPATEN DELI SERDANG,71.77,13.36,10.1,12291.0,75.53,2021
KABUPATEN LANGKAT,68.97,13.24,8.66,11142.0,71.35,2021
KABUPATEN NIAS SELATAN,68.86,12.27,6.06,7041.0,62.35,2021
KABUPATEN HUMBANG HASUNDUTAN,69.51,13.29,9.71,8016.0,69.41,2021
KABUPATEN PAKPAK BHARAT,65.96,13.87,9.14,8254.0,67.94,2021
KABUPATEN SAMOSIR,71.41,13.48,9.44,8504.0,70.83,2021
KABUPATEN SERDANG BEDAGAI,68.82,12.61,8.69,11017.0,70.56,2021
KABUPATEN BATU BARA,67.13,12.64,8.07,10539.0,68.58,2021
KABUPATEN PADANG LAWAS UTARA,67.22,13.04,9.38,10055.0,70.11,2021
KABUPATEN PADANG LAWAS,67.13,13.27,9.02,8921.0,68.64,2021
KABUPATEN LABUHAN BATU SELATAN,68.81,13.01,8.9,11562.0,71.69,2021
KABUPATEN LABUHAN BATU UTARA,69.56,13.19,8.41,11840.0,71.87,2021
KABUPATEN NIAS UTARA,69.55,13.04,6.77,6155.0,62.82,2021
KABUPATEN NIAS BARAT,69.08,12.95,6.69,5924.0,61.99,2021
KOTA SIBOLGA,69.25,13.28,10.41,11540.0,73.94,2021
KOTA TANJUNG BALAI,63.44,12.62,9.45,11225.0,68.94,2021
KOTA PEMATANG SIANTAR,73.77,14.57,11.29,12436.0,79.17,2021
KOTA TEBING TINGGI,70.95,12.73,10.44,12939.0,75.42,2021
KOTA MEDAN,73.23,14.75,11.48,14999.0,81.21,2021
KOTA BINJAI,72.45,13.63,10.94,11063.0,76.01,2021
KOTA PADANGSIDIMPUAN,69.5,14.56,11.09,10965.0,75.48,2021
KOTA GUNUNGSITOLI,71.32,13.75,8.62,8134.0,69.61,2021
KABUPATEN KEPULAUAN SERIBU,68.99,12.63,8.81,12587.0,72.1,2021
KOTA JAKARTA SELATAN,74.2,13.34,11.64,23888.0,84.9,2021
KOTA JAKARTA TIMUR,74.54,13.96,11.67,17733.0,82.97,2021
KOTA JAKARTA PUSAT,74.19,13.26,11.39,17365.0,81.56,2021
KOTA JAKARTA BARAT,73.69,12.81,10.78,20801.0,81.76,2021
KOTA JAKARTA UTARA,73.35,12.64,10.81,18762.0,80.51,2021
KABUPATEN BOGOR,71.36,12.49,8.31,10410.0,70.6,2021
KABUPATEN SUKABUMI,71.21,12.24,7.1,8850.0,67.07,2021
KABUPATEN CIANJUR,70.32,12.0,7.19,8052.0,65.56,2021
KABUPATEN BANDUNG,73.72,12.7,9.07,10307.0,72.73,2021
KABUPATEN GARUT,71.59,12.03,7.53,7961.0,66.45,2021
KABUPATEN TASIKMALAYA,69.67,12.54,7.48,7829.0,65.9,2021
KABUPATEN CIAMIS,72.02,14.2,7.9,9259.0,70.93,2021
KABUPATEN KUNINGAN,73.78,12.23,7.8,9409.0,69.71,2021
KABUPATEN CIREBON,72.18,12.27,7.1,10368.0,69.12,2021
KABUPATEN MAJALENGKA,70.46,12.23,7.31,9591.0,67.81,2021
KABUPATEN SUMEDANG,72.62,12.98,8.52,10262.0,71.8,2021
KABUPATEN INDRAMAYU,71.84,12.26,6.52,9810.0,67.64,2021
KABUPATEN SUBANG,72.58,11.71,7.11,10854.0,69.13,2021
KABUPATEN PURWAKARTA,71.18,12.12,8.1,11669.0,70.98,2021
KABUPATEN KARAWANG,72.33,12.1,7.78,11522.0,70.94,2021
KABUPATEN BEKASI,73.81,13.1,9.3,11341.0,74.45,2021
KABUPATEN BANDUNG BARAT,72.52,11.88,8.2,8546.0,68.29,2021
KABUPATEN PANGANDARAN,71.6,12.08,7.85,9065.0,68.28,2021
KOTA BOGOR,73.82,13.42,10.53,11716.0,76.59,2021
KOTA SUKABUMI,72.58,13.58,9.81,10942.0,74.6,2021
KOTA BANDUNG,74.46,14.21,10.99,16996.0,81.96,2021
KOTA CIREBON,72.44,13.13,10.12,11810.0,75.25,2021
KOTA BEKASI,75.19,14.1,11.31,15903.0,81.95,2021
KOTA DEPOK,74.62,13.93,11.46,15420.0,81.37,2021
KOTA CIMAHI,74.21,13.81,11.08,12019.0,78.06,2021
KOTA TASIKMALAYA,72.34,13.46,9.52,10213.0,73.31,2021
KOTA BANJAR,71.19,13.24,8.77,10476.0,71.92,2021
KABUPATEN CILACAP,73.9,12.63,7.09,10534.0,70.42,2021
KABUPATEN BANYUMAS,73.8,13.03,7.63,11546.0,72.44,2021
KABUPATEN PURBALINGGA,73.21,12.0,7.25,10032.0,69.15,2021
KABUPATEN BANJARNEGARA,74.28,11.63,6.75,9407.0,67.86,2021
KABUPATEN KEBUMEN,73.55,13.35,7.55,9028.0,70.05,2021
KABUPATEN PURWOREJO,74.87,13.51,8.21,10275.0,72.98,2021
KABUPATEN WONOSOBO,71.94,11.76,6.82,10760.0,68.43,2021
KABUPATEN MAGELANG,73.88,12.55,7.79,9440.0,70.12,2021
KABUPATEN BOYOLALI,76.03,12.57,7.85,13031.0,74.4,2021
KABUPATEN KLATEN,76.86,13.39,8.81,12017.0,76.12,2021
KABUPATEN SUKOHARJO,77.73,13.84,9.35,11428.0,77.13,2021
KABUPATEN WONOGIRI,76.28,12.5,7.34,9429.0,70.49,2021
KABUPATEN KARANGANYAR,77.55,13.69,8.57,11509.0,75.99,2021
KABUPATEN SRAGEN,75.79,12.84,7.66,12679.0,74.08,2021
KABUPATEN GROBOGAN,74.84,12.44,7.11,10294.0,70.41,2021
KABUPATEN BLORA,74.51,12.35,6.99,9669.0,69.37,2021
KABUPATEN REMBANG,74.61,12.12,7.3,10519.0,70.43,2021
KABUPATEN PATI,76.27,12.94,7.48,10506.0,72.28,2021
KABUPATEN KUDUS,76.68,13.24,8.76,11272.0,75.16,2021
KABUPATEN JEPARA,75.91,12.76,7.79,10536.0,72.36,2021
KABUPATEN DEMAK,75.46,13.32,7.86,10248.0,72.57,2021
KABUPATEN SEMARANG,75.79,12.98,8.03,12070.0,74.24,2021
KABUPATEN TEMANGGUNG,75.64,12.32,7.25,9408.0,69.88,2021
KABUPATEN KENDAL,74.48,12.96,7.46,11608.0,72.5,2021
KABUPATEN BATANG,74.74,12.13,6.88,9524.0,68.92,2021
KABUPATEN PEKALONGAN,73.74,12.42,7.17,10409.0,70.11,2021
KABUPATEN PEMALANG,73.53,11.96,6.45,8573.0,66.56,2021
KABUPATEN TEGAL,71.72,12.89,6.99,9700.0,68.79,2021
KABUPATEN BREBES,69.54,12.05,6.22,10152.0,66.32,2021
KOTA MAGELANG,76.93,14.15,10.62,12349.0,79.43,2021
KOTA SURAKARTA,77.32,14.88,10.9,14911.0,82.62,2021
KOTA SALATIGA,77.55,15.42,10.66,15843.0,83.6,2021
KOTA SEMARANG,77.51,15.53,10.78,15425.0,83.55,2021
KOTA PEKALONGAN,74.44,12.85,9.18,12598.0,75.4,2021
KOTA TEGAL,74.54,13.07,8.73,13143.0,75.52,2021
KABUPATEN KULON PROGO,75.27,14.27,9.02,10069.0,74.71,2021
KABUPATEN BANTUL,73.89,15.38,9.57,15545.0,80.28,2021
KABUPATEN GUNUNG KIDUL,74.19,12.98,7.3,9505.0,70.16,2021
KABUPATEN SLEMAN,74.92,16.74,10.92,16060.0,84.0,2021
KOTA YOGYAKARTA,74.76,17.6,11.72,18801.0,87.18,2021
KABUPATEN PACITAN,72.07,12.65,7.61,8887.0,68.57,2021
KABUPATEN PONOROGO,72.85,13.74,7.55,9851.0,71.06,2021
KABUPATEN TRENGGALEK,73.86,12.47,7.56,9743.0,70.06,2021
KABUPATEN TULUNGAGUNG,74.16,13.32,8.34,10807.0,73.15,2021
KABUPATEN BLITAR,73.61,12.63,7.5,10757.0,71.05,2021
KABUPATEN KEDIRI,72.65,13.44,8.08,11127.0,72.56,2021
KABUPATEN MALANG,72.61,13.24,7.43,10163.0,70.6,2021
KABUPATEN LUMAJANG,70.21,11.88,6.67,9203.0,66.07,2021
KABUPATEN JEMBER,69.28,13.43,6.49,9410.0,67.32,2021
KABUPATEN BANYUWANGI,70.72,13.1,7.42,12217.0,71.38,2021
KABUPATEN BONDOWOSO,66.89,13.29,5.94,10690.0,66.59,2021
KABUPATEN SITUBONDO,69.24,13.16,6.62,9996.0,67.78,2021
KABUPATEN PROBOLINGGO,67.36,12.36,6.12,10969.0,66.26,2021
KABUPATEN PASURUAN,70.25,12.58,7.41,10297.0,68.93,2021
KABUPATEN SIDOARJO,74.06,14.94,10.72,14578.0,80.65,2021
KABUPATEN MOJOKERTO,72.59,12.95,8.64,12844.0,74.15,2021
KABUPATEN JOMBANG,72.49,13.57,8.55,11394.0,73.45,2021
KABUPATEN NGANJUK,71.6,12.87,7.78,12172.0,71.97,2021
KABUPATEN MADIUN,71.5,13.17,7.82,11658.0,71.88,2021
KABUPATEN MAGETAN,72.65,14.04,8.36,11833.0,74.15,2021
KABUPATEN NGAWI,72.41,12.83,7.26,11459.0,71.04,2021
KABUPATEN BOJONEGORO,71.72,12.68,7.38,10221.0,69.59,2021
KABUPATEN TUBAN,71.56,12.22,7.18,10380.0,68.91,2021
KABUPATEN LAMONGAN,72.49,13.77,8.04,11510.0,73.12,2021
KABUPATEN GRESIK,72.67,13.77,9.56,13280.0,76.5,2021
KABUPATEN BANGKALAN,70.22,11.73,5.96,8673.0,64.36,2021
KABUPATEN SAMPANG,68.07,12.38,4.86,8790.0,62.8,2021
KABUPATEN PAMEKASAN,67.67,13.65,6.7,8804.0,66.4,2021
KABUPATEN SUMENEP,71.56,13.33,5.92,9000.0,67.04,2021
KOTA KEDIRI,74.04,15.27,10.15,12359.0,78.6,2021
KOTA BLITAR,73.86,14.33,10.35,13816.0,78.98,2021
KOTA MALANG,73.36,15.75,10.41,16663.0,82.04,2021
KOTA PROBOLINGGO,70.35,13.6,8.95,12245.0,73.66,2021
KOTA PASURUAN,71.6,13.63,9.33,13354.0,75.62,2021
KOTA MOJOKERTO,73.39,14.01,10.47,13610.0,78.43,2021
KOTA MADIUN,72.83,14.41,11.37,16095.0,81.25,2021
KOTA SURABAYA,74.18,14.81,10.5,17862.0,82.31,2021
KOTA BATU,72.65,14.16,9.31,12887.0,76.28,2021
KABUPATEN PANDEGLANG,64.79,13.49,7.11,8635.0,65.17,2021
KABUPATEN LEBAK,67.33,11.98,6.41,8724.0,64.03,2021
KABUPATEN TANGERANG,69.93,12.84,8.61,12273.0,72.29,2021
KABUPATEN SERANG,64.76,12.58,7.51,10713.0,66.82,2021
KOTA TANGERANG,71.6,13.87,10.83,14575.0,78.5,2021
KOTA CILEGON,66.69,13.18,10.08,13041.0,73.35,2021
KOTA SERANG,68.12,12.79,8.89,13281.0,72.44,2021
KOTA TANGERANG SELATAN,72.47,14.66,11.82,15751.0,81.6,2021
KABUPATEN JEMBRANA,72.46,12.92,8.35,11675.0,72.75,2021
KABUPATEN TABANAN,73.75,13.01,9.14,14326.0,76.45,2021
KABUPATEN BADUNG,75.18,13.99,10.62,17327.0,81.83,2021
KABUPATEN GIANYAR,73.78,13.97,9.29,14391.0,77.7,2021
KABUPATEN KLUNGKUNG,71.41,13.0,8.14,11287.0,71.75,2021
KABUPATEN BANGLI,70.62,12.35,7.18,11201.0,69.37,2021
KABUPATEN KARANG ASEM,70.56,12.42,6.33,10175.0,67.36,2021
KABUPATEN BULELENG,71.95,13.08,7.25,13362.0,72.56,2021
KOTA DENPASAR,74.93,14.09,11.48,19598.0,84.03,2021
KABUPATEN LOMBOK BARAT,67.19,13.95,6.42,11334.0,68.61,2021
KABUPATEN LOMBOK TENGAH,66.38,13.85,6.29,9962.0,66.72,2021
KABUPATEN LOMBOK TIMUR,66.16,13.9,6.71,9450.0,66.66,2021
KABUPATEN SUMBAWA,67.73,13.07,8.15,9167.0,68.01,2021
KABUPATEN DOMPU,66.99,13.53,8.72,8899.0,68.45,2021
KABUPATEN BIMA,66.5,13.39,7.91,8495.0,66.66,2021
KABUPATEN SUMBAWA BARAT,68.31,13.64,8.72,11548.0,71.85,2021
KABUPATEN LOMBOK UTARA,67.36,12.76,6.04,9057.0,64.77,2021
KOTA MATARAM,71.88,15.64,9.54,14999.0,79.14,2021
KOTA BIMA,70.5,15.04,10.65,11135.0,76.11,2021
KABUPATEN SUMBA BARAT,67.12,13.12,6.84,7307.0,63.83,2021
KABUPATEN SUMBA TIMUR,65.16,12.83,7.32,9354.0,65.74,2021
KABUPATEN KUPANG,64.91,13.86,7.39,7476.0,64.41,2021
KABUPATEN TIMOR TENGAH SELATAN,66.46,12.58,6.74,6839.0,62.16,2021
KABUPATEN TIMOR TENGAH UTARA,67.09,13.32,7.96,6324.0,63.69,2021
KABUPATEN BELU,64.89,12.28,7.36,7431.0,62.77,2021
KABUPATEN ALOR,61.64,12.24,8.42,6751.0,61.37,2021
KABUPATEN LEMBATA,67.2,12.43,8.23,7257.0,64.75,2021
KABUPATEN FLORES TIMUR,65.31,12.92,7.72,7578.0,64.22,2021
KABUPATEN SIKKA,67.45,13.43,6.95,8021.0,65.41,2021
KABUPATEN ENDE,65.43,13.79,8.03,9027.0,67.3,2021
KABUPATEN NGADA,68.12,12.71,8.53,8819.0,67.88,2021
KABUPATEN MANGGARAI,67.11,13.69,7.61,7133.0,65.01,2021
KABUPATEN ROTE NDAO,64.88,13.19,7.71,6503.0,62.6,2021
KABUPATEN MANGGARAI BARAT,67.46,12.29,7.56,7410.0,64.17,2021
KABUPATEN SUMBA TENGAH,68.42,13.04,6.47,6061.0,61.8,2021
KABUPATEN SUMBA BARAT DAYA,68.57,13.07,6.35,6355.0,62.29,2021
KABUPATEN NAGEKEO,67.25,12.49,7.9,8254.0,65.82,2021
KABUPATEN MANGGARAI TIMUR,68.07,12.26,7.35,5780.0,61.37,2021
KABUPATEN SABU RAIJUA,60.66,13.15,6.66,5256.0,57.03,2021
KABUPATEN MALAKA,65.01,12.79,7.1,5861.0,60.42,2021
KOTA KUPANG,69.73,16.41,11.6,13218.0,79.74,2021
KABUPATEN SAMBAS,69.08,12.63,6.72,9828.0,67.1,2021
KABUPATEN BENGKAYANG,73.84,12.1,6.8,9193.0,68.04,2021
KABUPATEN LANDAK,73.04,12.43,7.12,7431.0,66.21,2021
